,x1,x2,f(x)
137,3.4000000000000004,-7.82,0.9183750942952421
138,3.74,-7.82,0.8940990942952421
139,4.08,-7.82,0.8675110942952422
140,4.420000000000002,-7.82,0.838611094295242
141,4.760000000000002,-7.82,0.807399094295242
142,5.100000000000001,-7.82,0.7738750942952419
143,5.440000000000001,-7.82,0.738039094295242
144,5.780000000000001,-7.82,0.699891094295242
145,6.120000000000001,-7.82,0.6594310942952419
146,6.460000000000001,-7.82,0.616659094295242
147,6.800000000000001,-7.82,0.571575094295242
148,7.140000000000001,-7.82,0.5241790942952421
149,7.48,-7.82,0.47447109429524204
150,7.82,-7.82,0.4224510942952421
151,8.16,-7.82,0.36811909429524214
152,8.5,-7.82,0.3114750942952421
153,-8.5,-7.48,0.6428247419762018
154,-8.16,-7.48,0.6994687419762018
155,-7.82,-7.48,0.7538007419762017
156,-7.48,-7.48,0.8058207419762017
157,-7.14,-7.48,0.8555287419762018
158,-6.8,-7.48,0.9029247419762019
159,-6.46,-7.48,0.9480087419762018
160,-6.119999999999999,-7.48,0.9907807419762018
161,-5.779999999999999,-7.48,1.0312407419762017
162,-5.4399999999999995,-7.48,1.0693887419762018
163,-5.1,-7.48,1.1052247419762018
164,-4.76,-7.48,1.138748741976202
165,-4.42,-7.48,1.1699607419762017
166,-4.08,-7.48,1.1988607419762018
167,-3.7399999999999993,-7.48,1.225448741976202
168,-3.3999999999999995,-7.48,1.2497247419762019
169,-3.0599999999999996,-7.48,1.2716887419762017
170,-2.7199999999999998,-7.48,1.2913407419762017
171,-2.38,-7.48,1.3086807419762019
172,-2.039999999999999,-7.48,1.323708741976202
173,-1.6999999999999993,-7.48,1.3364247419762019
174,-1.3599999999999994,-7.48,1.3468287419762017
175,-1.0199999999999996,-7.48,1.3549207419762017
176,-0.6799999999999997,-7.48,1.3607007419762018
177,-0.33999999999999986,-7.48,1.3641687419762019
178,0.0,-7.48,1.3653247419762018
179,0.33999999999999986,-7.48,1.3641687419762019
180,0.6800000000000015,-7.48,1.3607007419762018
181,1.0200000000000014,-7.48,1.3549207419762017
182,1.3600000000000012,-7.48,1.3468287419762017
183,1.700000000000001,-7.48,1.3364247419762019
184,2.040000000000001,-7.48,1.3237087419762017
185,2.380000000000001,-7.48,1.3086807419762017
186,2.7200000000000006,-7.48,1.2913407419762017
187,3.0600000000000005,-7.48,1.2716887419762017
188,3.4000000000000004,-7.48,1.2497247419762019
189,3.74,-7.48,1.2254487419762017
190,4.08,-7.48,1.1988607419762018
191,4.420000000000002,-7.48,1.1699607419762017
192,4.760000000000002,-7.48,1.1387487419762017
193,5.100000000000001,-7.48,1.1052247419762016
194,5.440000000000001,-7.48,1.0693887419762016
195,5.780000000000001,-7.48,1.0312407419762017
196,6.120000000000001,-7.48,0.9907807419762016
197,6.460000000000001,-7.48,0.9480087419762017
198,6.800000000000001,-7.48,0.9029247419762017
199,7.140000000000001,-7.48,0.8555287419762018
200,7.48,-7.48,0.8058207419762017
201,7.82,-7.48,0.7538007419762017
202,8.16,-7.48,0.6994687419762018
203,8.5,-7.48,0.6428247419762018
204,-8.5,-7.14,0.9323481155667656
205,-8.16,-7.14,0.9889921155667656
206,-7.82,-7.14,1.0433241155667656
207,-7.48,-7.14,1.0953441155667654
208,-7.14,-7.14,1.1450521155667657
209,-6.8,-7.14,1.1924481155667657
210,-6.46,-7.14,1.2375321155667656
211,-6.119999999999999,-7.14,1.2803041155667656
212,-5.779999999999999,-7.14,1.3207641155667655
213,-5.4399999999999995,-7.14,1.3589121155667656
214,-5.1,-7.14,1.3947481155667656
215,-4.76,-7.14,1.4282721155667657
216,-4.42,-7.14,1.4594841155667655
217,-4.08,-7.14,1.4883841155667656
218,-3.7399999999999993,-7.14,1.5149721155667657
219,-3.3999999999999995,-7.14,1.5392481155667657
220,-3.0599999999999996,-7.14,1.5612121155667655
221,-2.7199999999999998,-7.14,1.5808641155667655
222,-2.38,-7.14,1.5982041155667657
223,-2.039999999999999,-7.14,1.6132321155667657
224,-1.6999999999999993,-7.14,1.6259481155667657
225,-1.3599999999999994,-7.14,1.6363521155667655
226,-1.0199999999999996,-7.14,1.6444441155667655
227,-0.6799999999999997,-7.14,1.6502241155667656
228,-0.33999999999999986,-7.14,1.6536921155667657
229,0.0,-7.14,1.6548481155667656
230,0.33999999999999986,-7.14,1.6536921155667657
231,0.6800000000000015,-7.14,1.6502241155667656
232,1.0200000000000014,-7.14,1.6444441155667655
233,1.3600000000000012,-7.14,1.6363521155667655
234,1.700000000000001,-7.14,1.6259481155667657
235,2.040000000000001,-7.14,1.6132321155667655
236,2.380000000000001,-7.14,1.5982041155667654
237,2.7200000000000006,-7.14,1.5808641155667655
238,3.0600000000000005,-7.14,1.5612121155667655
239,3.4000000000000004,-7.14,1.5392481155667657
240,3.74,-7.14,1.5149721155667655
241,4.08,-7.14,1.4883841155667656
242,4.420000000000002,-7.14,1.4594841155667655
243,4.760000000000002,-7.14,1.4282721155667655
244,5.100000000000001,-7.14,1.3947481155667654
245,5.440000000000001,-7.14,1.3589121155667654
246,5.780000000000001,-7.14,1.3207641155667655
247,6.120000000000001,-7.14,1.2803041155667654
248,6.460000000000001,-7.14,1.2375321155667653
249,6.800000000000001,-7.14,1.1924481155667654
